candidate,scope,ranking_type,top50_changed,top100_changed,spearman_top100
C1,available_only,view_count,0,0,0.9959
C1,available_only,view_days,1,0,0.9997
C1,available_only,likes,0,0,1.0
C1,available_only,composite,0,0,0.9979
C1,all_not_deleted,view_count,0,1,0.9923
C1,all_not_deleted,view_days,1,1,0.9988
C1,all_not_deleted,likes,0,0,1.0
C1,all_not_deleted,composite,0,0,0.996
C1,c_drive_only,view_count,0,0,0.9959
C1,c_drive_only,view_days,1,0,0.9997
C1,c_drive_only,likes,0,0,1.0
C1,c_drive_only,composite,0,0,0.9979
C1,external_hdd_only,view_count,0,3,0.986
C1,external_hdd_only,view_days,0,2,0.9937
C1,external_hdd_only,likes,0,0,1.0
C1,external_hdd_only,composite,0,1,0.9967
C4_C5,available_only,view_count,27,47,0.6041
C4_C5,available_only,view_days,30,44,0.6037
C4_C5,available_only,likes,0,0,1.0
C4_C5,available_only,composite,22,40,0.6014
C4_C5,all_not_deleted,view_count,28,52,0.7538
C4_C5,all_not_deleted,view_days,31,63,0.5618
C4_C5,all_not_deleted,likes,0,0,1.0
C4_C5,all_not_deleted,composite,25,47,0.8201
C4_C5,c_drive_only,view_count,27,49,0.5767
C4_C5,c_drive_only,view_days,31,51,0.6037
C4_C5,c_drive_only,likes,0,0,1.0
C4_C5,c_drive_only,composite,22,41,0.6014
C4_C5,external_hdd_only,view_count,28,42,0.406
C4_C5,external_hdd_only,view_days,27,59,0.2286
C4_C5,external_hdd_only,likes,0,0,1.0
C4_C5,external_hdd_only,composite,24,60,0.6066
C6_025,available_only,view_count,0,0,1.0
C6_025,available_only,view_days,12,17,0.8253
C6_025,available_only,likes,0,0,1.0
C6_025,available_only,composite,12,16,0.7529
C6_025,all_not_deleted,view_count,0,0,1.0
C6_025,all_not_deleted,view_days,13,25,0.6999
C6_025,all_not_deleted,likes,0,0,1.0
C6_025,all_not_deleted,composite,13,23,0.8579
C6_025,c_drive_only,view_count,0,0,1.0
C6_025,c_drive_only,view_days,13,20,0.8253
C6_025,c_drive_only,likes,0,0,1.0
C6_025,c_drive_only,composite,12,16,0.7529
C6_025,external_hdd_only,view_count,0,0,1.0
C6_025,external_hdd_only,view_days,12,24,0.651
C6_025,external_hdd_only,likes,0,0,1.0
C6_025,external_hdd_only,composite,7,17,0.8247
C6_050,available_only,view_count,0,0,1.0
C6_050,available_only,view_days,12,15,0.8296
C6_050,available_only,likes,0,0,1.0
C6_050,available_only,composite,11,13,0.7596
C6_050,all_not_deleted,view_count,0,0,1.0
C6_050,all_not_deleted,view_days,15,24,0.7219
C6_050,all_not_deleted,likes,0,0,1.0
C6_050,all_not_deleted,composite,14,22,0.8621
C6_050,c_drive_only,view_count,0,0,1.0
C6_050,c_drive_only,view_days,13,16,0.8296
C6_050,c_drive_only,likes,0,0,1.0
C6_050,c_drive_only,composite,12,15,0.7596
C6_050,external_hdd_only,view_count,0,0,1.0
C6_050,external_hdd_only,view_days,12,22,0.6554
C6_050,external_hdd_only,likes,0,0,1.0
C6_050,external_hdd_only,composite,9,25,0.8388
C7a,available_only,view_count,0,0,1.0
C7a,available_only,view_days,1,0,0.9997
C7a,available_only,likes,0,0,1.0
C7a,available_only,composite,0,0,0.9979
C7a,all_not_deleted,view_count,0,0,1.0
C7a,all_not_deleted,view_days,1,1,0.9988
C7a,all_not_deleted,likes,0,0,1.0
C7a,all_not_deleted,composite,0,0,0.996
C7a,c_drive_only,view_count,0,0,1.0
C7a,c_drive_only,view_days,1,0,0.9997
C7a,c_drive_only,likes,0,0,1.0
C7a,c_drive_only,composite,0,0,0.9979
C7a,external_hdd_only,view_count,0,0,1.0
C7a,external_hdd_only,view_days,0,2,0.9937
C7a,external_hdd_only,likes,0,0,1.0
C7a,external_hdd_only,composite,0,1,0.9967
C7b,available_only,view_count,21,32,0.5924
C7b,available_only,view_days,32,42,0.6529
C7b,available_only,likes,0,0,1.0
C7b,available_only,composite,20,27,0.6182
C7b,all_not_deleted,view_count,22,50,0.8013
C7b,all_not_deleted,view_days,27,63,0.6304
C7b,all_not_deleted,likes,0,0,1.0
C7b,all_not_deleted,composite,21,50,0.8431
C7b,c_drive_only,view_count,21,41,0.5414
C7b,c_drive_only,view_days,32,48,0.6529
C7b,c_drive_only,likes,0,0,1.0
C7b,c_drive_only,composite,20,29,0.6182
C7b,external_hdd_only,view_count,28,53,0.3748
C7b,external_hdd_only,view_days,33,50,0.2979
C7b,external_hdd_only,likes,0,0,1.0
C7b,external_hdd_only,composite,27,48,0.6183
