metric,key,value
v1_file_vs_file_created_at,n,5443.0
v1_file_vs_file_created_at,same_date_pct,2.0
v1_file_vs_file_created_at,within_1d_pct,4.4
v1_file_vs_file_created_at,within_7d_pct,13.5
v1_file_vs_file_created_at,median_abs_delta_days,214.94
v1_file_vs_last_file_modified,n,4995.0
v1_file_vs_last_file_modified,same_date_pct,2.0
v1_file_vs_last_file_modified,within_1d_pct,4.3
v1_file_vs_last_file_modified,within_7d_pct,13.3
v1_file_vs_last_file_modified,median_abs_delta_days,219.75
v1_file_vs_created_at,n,5443.0
v1_file_vs_created_at,same_date_pct,6.1
v1_file_vs_created_at,within_1d_pct,8.9
v1_file_vs_created_at,within_7d_pct,17.9
v1_file_vs_created_at,median_abs_delta_days,34.05
v5_app_vs_file_created_at,n,1282.0
v5_app_vs_file_created_at,same_date_pct,2.9
v5_app_vs_file_created_at,within_1d_pct,7.5
v5_app_vs_file_created_at,within_7d_pct,23.3
v5_app_vs_file_created_at,median_abs_delta_days,26.65
v5_app_vs_last_file_modified,n,1138.0
v5_app_vs_last_file_modified,same_date_pct,3.3
v5_app_vs_last_file_modified,within_1d_pct,7.3
v5_app_vs_last_file_modified,within_7d_pct,24.0
v5_app_vs_last_file_modified,median_abs_delta_days,25.88
v4_file_date_concentration,rows,5443.0
v4_file_date_concentration,distinct_days,59.0
v4_file_date_concentration,top1_day_pct,12.9
v4_file_date_concentration,top5_days_pct,36.2
v4_file_date_concentration,top10_days_pct,54.2
v4_app_date_concentration,rows,1282.0
v4_app_date_concentration,distinct_days,64.0
v4_app_date_concentration,top1_day_pct,5.1
v4_app_date_concentration,top5_days_pct,22.1
v4_app_date_concentration,top10_days_pct,37.5
v2_file_time_granularity,rows,5443.0
v2_file_time_granularity,whole_minute_pct,1.4
v2_file_time_granularity,midnight_pct,0.0
v2_file_time_granularity,distinct_hms,1744.0
v3_c1_group_cohesion,groups,11.0
v3_c1_group_cohesion,single_folder_groups,4.0
v3_c1_group_cohesion,single_storage_groups,4.0
